DTYPE,code,displayValue,productCd,countryCd
CountryLookupValue,D49,Dockyard Worker,,IE
CountryLookupValue,D50,Doctor,,IE
CountryLookupValue,D51,Document Controller,,IE
CountryLookupValue,D52,Dog Beautician,,IE
CountryLookupValue,D53,Dog Breeder,,IE
CountryLookupValue,D54,Dog Groomer,,IE
CountryLookupValue,D55,Dog Trainer,,IE
CountryLookupValue,D56,Dog Walker,,IE
CountryLookupValue,D57,Dog Warden,,IE
CountryLookupValue,D58,Doll Maker,,IE
CountryLookupValue,D59,Domestic Staff,,IE
CountryLookupValue,D60,Door Fitter,,IE
CountryLookupValue,D61,Door To Door Collector,,IE
CountryLookupValue,D62,Doorman,,IE
CountryLookupValue,D63,Double Glazing Fitter,,IE
CountryLookupValue,D64,Double Glazing Salesman,,IE
CountryLookupValue,D65,Draughtsman,,IE
CountryLookupValue,D66,Draughtswoman,,IE
CountryLookupValue,D67,Drayman,,IE
CountryLookupValue,D68,Dressmaker,,IE
CountryLookupValue,D69,Drilling Technician,,IE
CountryLookupValue,D70,Driving Examiner,,IE
CountryLookupValue,D71,Driving Instructor,,IE
CountryLookupValue,D72,Driving Instructor (HGV),,IE
CountryLookupValue,D73,Drug Addiction Counsellor,,IE
CountryLookupValue,D74,Dry Cleaner,,IE
CountryLookupValue,D75,Dryliner,,IE
CountryLookupValue,D76,Dustman,,IE
CountryLookupValue,D77,Dye Polisher,,IE
CountryLookupValue,D78,Dyer,,IE
CountryLookupValue,E1,Ecologist,,IE
CountryLookupValue,E2,Economist,,IE
CountryLookupValue,E3,Editor,,IE
CountryLookupValue,E4,Editorial Consultant,,IE
CountryLookupValue,E5,Editorial Staff,,IE
CountryLookupValue,E6,Education Advisor,,IE
CountryLookupValue,E7,Education Officer,,IE
CountryLookupValue,E8,Electrical Contractor,,IE
CountryLookupValue,E9,Electrical Engineer,,IE
CountryLookupValue,E10,Electrical Fitter,,IE
CountryLookupValue,E11,Electrician,,IE
CountryLookupValue,E12,Electrologist,,IE
CountryLookupValue,E13,Electronic Engineer,,IE
CountryLookupValue,E14,Electronics Supervisor,,IE
CountryLookupValue,E15,Electronics Technician,,IE
CountryLookupValue,E16,Embalmer,,IE
CountryLookupValue,E17,Embassy Staff,,IE
CountryLookupValue,E18,Embroiderer,,IE
CountryLookupValue,E19,Energy Analyst,,IE
CountryLookupValue,E20,Engineer,,IE
CountryLookupValue,E21,Engraver,,IE
CountryLookupValue,E22,Enquiry Agent,,IE
CountryLookupValue,E23,Entertainer,,IE
CountryLookupValue,E24,Environmental Chemist,,IE
CountryLookupValue,E25,Environmental Consultant,,IE
CountryLookupValue,E26,Environmental Health Officer,,IE
CountryLookupValue,E27,Equity Agent,,IE
CountryLookupValue,E28,Ergonomist,,IE
CountryLookupValue,E29,Estate Agent,,IE
CountryLookupValue,E30,Estate Manager,,IE
CountryLookupValue,E31,Estimator,,IE
CountryLookupValue,E32,Evangelist,,IE
CountryLookupValue,E33,Events organiser,,IE
CountryLookupValue,E34,Excursion Manager,,IE
CountryLookupValue,E35,Exhaust Fitter,,IE
CountryLookupValue,E36,Exhibition Designer,,IE
CountryLookupValue,E37,Exhibition organiser,,IE
CountryLookupValue,E38,Exotic Dancer,,IE
CountryLookupValue,E39,Expedition Leader,,IE
CountryLookupValue,E40,Export Consultant,,IE
CountryLookupValue,E41,Exporter,,IE
CountryLookupValue,E42,Extrusion Operator,,IE
CountryLookupValue,F1,Fabricator,,IE
CountryLookupValue,F2,Factory Canteen Manager,,IE
CountryLookupValue,F3,Factory Inspector,,IE
CountryLookupValue,F4,Factory Manager,,IE
CountryLookupValue,F5,Factory Worker,,IE
CountryLookupValue,F6,Fairground Worker,,IE
CountryLookupValue,F7,Falconer,,IE
CountryLookupValue,F8,Farm Manager,,IE
CountryLookupValue,F9,Farm Worker,,IE
CountryLookupValue,F10,Farmer,,IE
CountryLookupValue,F11,Farrier,,IE
CountryLookupValue,F12,Fashion Designer,,IE
CountryLookupValue,F13,Fashion Photographer,,IE
CountryLookupValue,F14,Fast Food Delivery Driver,,IE
CountryLookupValue,F15,Fast Food Proprietor,,IE
CountryLookupValue,F16,Fence Erecter,,IE
CountryLookupValue,F17,Fibre Glass Moulder,,IE
CountryLookupValue,F18,Field Officer,,IE
CountryLookupValue,F19,Figure Painter,,IE
CountryLookupValue,F20,Film Director,,IE
CountryLookupValue,F21,Film Producer,,IE
CountryLookupValue,F22,Film Technician,,IE
CountryLookupValue,F23,Finance Director,,IE
CountryLookupValue,F24,Finance Manager,,IE
CountryLookupValue,F25,Finance Officer,,IE
CountryLookupValue,F26,Financial Advisor,,IE
CountryLookupValue,F27,Financial Analyst,,IE
CountryLookupValue,F28,Financial Consultant,,IE
CountryLookupValue,F29,Financier,,IE
CountryLookupValue,F30,Fire Officer,,IE
CountryLookupValue,F31,Fire Prevention Officer,,IE
CountryLookupValue,F32,Fire Protection Consultant,,IE
CountryLookupValue,F33,Firefighter,,IE
CountryLookupValue,F34,Fireplace Fitter,,IE
CountryLookupValue,F35,Firewood Merchant,,IE
CountryLookupValue,F36,First Aid Worker,,IE
CountryLookupValue,F37,Fish Buyer,,IE
CountryLookupValue,F38,Fish Filleter,,IE
CountryLookupValue,F39,Fish Fryer,,IE
CountryLookupValue,F40,Fish Merchant,,IE
CountryLookupValue,F41,Fish Worker,,IE
CountryLookupValue,F42,Fisheries Inspector,,IE
CountryLookupValue,F43,Fisherman,,IE
CountryLookupValue,F44,Fishery Manager,,IE
CountryLookupValue,F45,Fishmonger,,IE
CountryLookupValue,F46,Fitness Instructor,,IE
CountryLookupValue,F47,Fitter,,IE
CountryLookupValue,F48,Fitter - Tyre/Exhaust,,IE
CountryLookupValue,F49,Flagger,,IE
CountryLookupValue,F50,Flight Deck Crew,,IE
CountryLookupValue,F51,Floor Layer,,IE
CountryLookupValue,F52,Floor Manager,,IE
CountryLookupValue,F53,Florist,,IE
CountryLookupValue,F54,Flour Miller,,IE
CountryLookupValue,F55,Flower Arranger,,IE
CountryLookupValue,F56,Flying Instructor,,IE
CountryLookupValue,F57,Foam Convertor,,IE
CountryLookupValue,F58,Food Processor,,IE
CountryLookupValue,F59,Footballer,,IE
CountryLookupValue,F60,Foreman,,IE
CountryLookupValue,F61,Forensic Scientist,,IE
CountryLookupValue,F62,Forest Ranger,,IE
CountryLookupValue,F63,Forester,,IE
CountryLookupValue,F64,Fork Lift Truck Driver,,IE
CountryLookupValue,F65,Forwarding Agent,,IE
CountryLookupValue,F66,Foster Parent,,IE
CountryLookupValue,F67,Foundry Worker,,IE
